S/NO,PHASE,NAME OF ANALYST,"DOCUMENT TYPE (book, Journal article, Report, Statutes, Newspaper)",TITTLE OF PUBLICATION,AUTHOR,APPLICABLE NOMENCLATURE(KEY NAME USED),YEAR OF PUBLICATION,CONTINENT OF STUDY,NATIONALITY/ORIGIN/EXTRACTION OF AUTHOR,SECTION OF THE ARTICLE ANALYSED,BRIEF DESCRIPTION OF THE ARTICLE,"DESCRIPTIVE TERMS/ADJECTIVES/ADJECTIVAL PHRASES (e.g. filthy, dirty, undesirable)",POSITIONALITY OF ARTICLE,USE OF STATISTICS,SOURCE OF STATISTICS,CITE 'UN-habitat 2003 STUDY ON SLUMS',"CATEGORISATION OF PUBLICATION( descriptive, diagnostic(identify problems), Prescriptive, theoretical)","Descriptive studies( nature of slums(conceptualization), health concerns, housing, water, sanitation, nutrition,land, approaches to slum Upgrading)","Diagnostic (strategies, policy gaps/challenges, tenure concerns, public health concerns, environmental concerns, marginalisation(inclusion, exclusion)]","Prescriptive[inclusivity/tackling marginalisation, slum upgrading/improvement, security improvement,","Theoretical( theories, liberal/neo-liberal theories, colonial/post colonial theories, political economy)",REFERENCE{MENDELEY},SOURCE/WEB LINK
47,I,Komollo+Elvis,Journal,The spatial dimension of COVID-19: The potential of earth observation data in support of slum communities with evidence from Brazil,"(Brito et al., 2020) ",Slums,2020,South America,African,Chapter 1,The urban morphology and living conditions in poor communities make the inhabitants more vulnerable to COVID 19 compared to a formal city·         Urban morphology of slums,"Urban morphorlogy.

Poor communities.

COVID 19

",Negative,No,-,No,Diagnostic,,Poverty,,,,
48,I,Komollo+Elvis,Journal,Grey water characterisation and pollutant loads in an urban slum,"(Katukiza et al., 2012)",Slums,2012,Asia,African,Introduction,"The increased environmental pollution and prevalence of diseases in slums is caused by poor sanitation. Rapid urbanization, lack of legal status, poor accessibility hinders the improvement of the level of sanitation in urban slums.·         Level of sanitation","Environmental pollution

poor sanitation

Sustainable technology of waste management",Neutral,No,-,No,Diagnostic,,Environmental Pollution,,,,
49,I,Komollo+Elvis,Journal,Determinants of childhood mortality and morbidity in urban slums in India,"(Awasthi & Agarwal, 2003) ",Slums,2003,Asia,Asian,Introduction,"Increase in urban population leads to growth of slums which in turn leads to the deterioration in public health and overstraining of infrastructure.·         Malnutrition, infectious diseases and impaired cognitive development in children who live in slums","Malnutrition.

Infectious diseases.

Impaired cognitive development.
",Negative,No,-,No,Descriptive,Malnutrition,,,,,
50,I,Komollo+Elvis,Journal,Improving the health and welfare of people who live in slums,"(Lilford et al., 2017)",Slums,2017,Asia,American,Chapter 1,"Paper discusses slums as a phenomenon defined in space, where a shared physical and social environment results in neighborhood effects on health and wellbeing. As a result, slums offer high returns on investment because beneficial effects are also shared across many people in densely packed neighborhoods as John Snow showed in 1854 where he disabled the Broad Street water pump in the Soho slum of London.·         Slums as shared physical and social environment results in neighborhood effects on health and wellbeing","Space

Social environment.

Health and wellbeing.",Negative,No,-,No,Descriptive,Conceptualization of slums,,,,,
51,I,Komollo+Elvis,Journal,An ontology of slums for image-based classification,"(Kohli et al., 2012)",Slums,2012,Asia,Asian,Introduction,"According to the projection by a recent report of UN-HABITAT, urban areas will be the epicenter of almost all of the world’s population growth in the next 30 years. In addition to this growth, planners and governments in developing countries face the challenge of high growth rates of poverty. Whereas poverty was once seen as being a largely rural problem, today we speak of the urbanization of poverty.·         Slums as places of urban poverty manifestation","UN-HABITAT

Urbanization of poverty.

Rural pronlem.",Negative,No,-,Yes,Diagnostic,,Urban Poverty,,,,
52,I,Komollo+Elvis,Journal,Nutritional status of school-age children-A scenario of urban slums in India,"(Srivastava et al., 2012) ",Slums,2012,Asia,Asian,Introduction,"Most school age slum children show poor nutritional status. This causes high absenteeism, low school enrolment, unsatisfactory classroom performance and early dropout·         Poor nutritional status","poor nutritional status.

",Negative,No,-,No,Descriptive,Malnutrition,,,,,
53,I,Komollo+Elvis,Journal,. Determinants of under nutrition among school age children in A nairobi peri-urban slum.,"(Chesere et al., 2008) ",Slums,2008,Africa,African,Chapter 1,"School going children in slum areas face high rates of malnutrition. This influences their growth and development, health and school academic performance.·         malnutrition","Malnutrition.
",Negative,No,-,No,Descriptive,Malnutrition,,,,,
54,I,Komollo+Elvis,Journal,Building the City: From Slums to a Modern Metropolis,"(Henderson et al., 2020)",Slums,2020,Africa,European,Introduction,"The authors model the building of a city, estimate parameters of the model, and calculate welfare losses from institutional frictions encountered in changing land-use. They distinguish formal and slum construction technologies; in contrast to slums, formal structures can be built tall, are durable, and non-malleable.·         In contrast to slums, formal structures can be built tall, are durable, and non-malleable.","Welfare losses.

Changing land-use.

Formal & slum construction technologies.

",Positive,No,-,No,Descriptive,Welfare losses,,,,,
55,I,Komollo+Elvis,Journal,"Cooperation, trust, and social capital in Southeast Asian urban slums","(Carpenter et al., 2004)",Slums,2004,Asia,American,Chapter 1,"The authors conducted experiments in urban slums to measure trust and cooperation and to see how behavior varies with demographic factors and associational measures of social capital. Overall, they found high contribution rates among Thai and Vietnamese participants in a voluntary contribution game, and we see that many participants are willing to signal their disapproval of free riding despite it being costly to do so. At the individual level, they found that behavior varies with many demographic factors and with many associational factors.·         Behavior varies with many demographic factors and with many associational factors.","urban slums

behaviour

role of culture",Positive,No,-,No,Descriptive,Conceptualization of slums,,,,,
56,I,Komollo+Elvis,Journal,Calculating without numbers: aesthetic governmentality in Delhi's slums,"(Ghertner, 2010)",Slums,2010,Asia,European,Introduction,"This paper looks at the manner in which knowledge of slums in Delhi has been collected, assembled and circulated in two different moments of urban improvement to explore the relationship between calculation and governmentality. Based on an extended study of slum enumeration and the politics of slum demolitions in Delhi, I show that each of these two moments relied on an epistemologically different set of calculative practices one statistical, the other aesthetic to render the slum intelligible and secure rule.·         Urban government in Delhi today is marked by a conspicuous absence of accurate and up to date statistics and maps.","urban improvement

slum enumeration

rational planning",Negative,No,-,No,Prescriptive,,,Slum Enumeration,,,
57,I,Komollo+Elvis,Journal,Redefining slums in Egypt: Unplanned versus unsafe areas,"(Khalifa, 2011)",Slums,2011,Africa,Asian,Chapter 1,"This paper addresses the crucial need to revisit the criteria for defining 'slums' in order to present(Nuissl & Heinrichs, 2013)  a more precise image of existing slums and categorize them according to the severity of risk they pose to human life and to property, as a means of prioritizing interventions. ·         Slums as places that poses severity of risk they pose to human life and to property, as a means of prioritizing interventions. ","prioritizing inventions

unplanned areas

unsafe areas",Negative,No,-,No,Descriptive,Unsafe Areas,,,,,
58,I,Komollo+Elvis,Journal,"Improving garbage collection in Latin America's slums: some lessons from Machala, Ecuador","(Stern et al., 1997)",Slums,1997,South America,European,Chapter 1,"The challenge of improving garbage collection in Latin American slums is illustrated by the case of Machala, Ecuador, a port city with a population of approximately 200 000. For many years, solid waste services have been provided exclusively by a unionized municipal department. By and large, it has performed inefficiently, and virtually no garbage is collected in the city’s poor neighborhoods, where 100 000 people reside. Better service for Machala’s slums requires the use of appropriate technology·         No waste collected in the city’s poor neighborhoods by municipal department.","Garbage collection

",Negative,Yes,sampling,No,Diagnostic,,Hygiene and Sanitation Concerns,,,,
59,I,Komollo+Elvis,Journal,From bulldozing to housing rights: reducing vulnerability and improving health in African slums,"(Mohindra & Schrecker, 2013) ",Slums,2013,Africa,Asian,Introduction,Slums are produced by the inherently disequalising nature of urbanization which creates spatial exclusion and segregation·         Slums as a product of inherently disequalising nature of urbanization which creates spatial exclusion and segregation,"spatial exclusion

forced evictions

",Neutral,No,-,No,Diagnostic,,Spatial Exclusion,,,,
60,I,Komollo+Elvis,Journal,Healing cities: Toward urban climate justice & slum health,"(Corburn et al., 2021) ",Slums,2021,America,American,Chapter 1,"The economic vulnerability of slum dwellers in fighting COVID 19 should be recognized as it may appear to be a hindrance of the large segment of the urban population globally. Inadequacy of non-existence of basic needs such as sewers, water, drainage, secure and adequate housing, waste collection in informal settlements make it easier for the spread of COVID 19. Violence, space contains and overcrowding in slums make self-quarantine and physical distancing impractical thus rapid spread of the infection.·         Slums as a hindrance of fighting COVID 19 of the large segments of urban population","economic vulnerability

COVID 19

basic needs",Negative,No,-,No,Diagnostic,,Economic Vulnerability,,,,
61,I,Komollo+Elvis,Journal,The 21st century health challenge of slums and cities,"(Prof Elliott D Sclar et al., n.d.)",Slums,2005,Asia,European,Introduction,"One of the key 21st century challenges in population health is the challenge of improving the global urban condition. Starting in 2007, and for the first time in human history, the majority of the world’s population will live in urban areas.·         communicable diseases associated with inadequate water and sanitation provision","Population health

Communicable diseases.

",Negative,No,-,No,Diagnostic,,Health Concerns,,,,
62,I,Komollo+Elvis,Journal,Electrifying the bottom of the pyramid : improving access in slums,Scott,Slums,2010,Asia,American,Introduction,"With increase in slums in Africa, Asia and Latin America there is increasing lack of reliable and safe electricity access in these regions. Those having access to electricity use illegal or non-formalized connections which leads to unsafety. Without electricity people in slums lag behind because it prevents business owners from expanding their enterprises and poor quality of life among the general population since they cannot access simple measures such as electrical modes of communication and refrigeration.·         Lack of reliable and safe electricity access.", reliable and safe electricity access.,Negative,No,-,No,Descriptive,Conceptualization of slums,,,,,
63,I,Komollo+Elvis,Journal,"Willingness to help climate migrants: A survey experiment in the Korail slum of Dhaka, Bangladesh","(Castellano et al., 2021) ",Slums,2021,Asia,European,Introduction,"In 2001 nine hundred and twenty-four million  people were slum dwellers and this was estimated to rise to 1.5 billion by 2020. Slum is characterized by inadequate access to; improved water which is at an affordable price and without straining, improved sanitation and other infrastructure services. Poor housing conditions, lease insecurity, temporary structures and hazardous location. Overcrowding is another characteristic of slums.·         In 2001 nine hundred and twenty-four million people were slum dwellers and this was estimated to rise to 1.5 billion by 2020",Slums,Negative,Yes,sampling,No,Descriptive,Conceptualization of slums,,,,,
64,I,Komollo+Elvis,Journal,"Who actually cares for children in slums? Why we need to think, and do, more about paid childcare in urbanizing sub-Saharan Africa","(Hughes et al., 2021) ",Slums,2021,Africa,American,Chapter 1,Population lack access to proper nutrition which leads to stunted growth. There is poor security thus no safety and the children lack access to early learning opportunities.·         stunted growth,proper nutrition,Negative,No,-,No,Descriptive,Malnutrition,,,,,
65,I,Komollo+Elvis,Journal,Remaking Slums: International Examples of Upgrading Neighbourhoods,"(Montaner, 2020) ",Slums,2020,Asia,European,Chapter 1,They grow as informal urbanism where the marginalized people live with insecurity of tenure and uncertainty and they lack proper access to basic services.·         Grow as informal urbanism where the marginalized people live.,"Informal urbanism

basic public facilities

criminality and degradation
",Negative,No,-,No,Descriptive,Conceptualization of slums,,,,,
66,I,Komollo+Elvis,Journal,Toward cities without slums: Topology and the spatial evolution of neighborhoods,"(Brelsford et al., 2018) ",Slums,2018,Asia,European,Chapter 1,Are basically associated with stark environmental challenges and many forms of economic and social exclusion that hinder the people and cities from fulfilling their prospective for economic growth and human development.·         economic and social exclusion,"Unplanned or informal land uses

",Negative,No,-,No,Descriptive,Conceptualization of slums,,,,,
67,I,Komollo+Elvis,Journal,Food security and dietary quality in African slums,"(Wanyama et al., 2019) ",Slums,2019,Africa,African,Chapter 1,Most of the slum dwellers are food insecure and suffer from low dietary quality thus the high rates of undernourishment.·         food insecure ,"undernourishment.

unhygienic living conditions",Negative,No,-,No,Descriptive,Malnutrition,,,,,
68,I,Komollo+Elvis,Journal,Promoting resilience in schoolchildren in urban slums,"(Ratioran & Phlainoi, 2014) ",Slums,2014,Asia,European,Introduction,"The expansion and growth of slums is believed to be as an outcome of the frequency by slum dwellers establishing house structures on the land that they occupy illegally.·         Slum settlements have no or a small number of windows which are constructed poorly, roofs which are leaking and walls that are constructed from low-quality construction materials"," low-income rural-urban migrants

urban informal sector",Negative,No,-,No,Diagnostic,,Poverty,,,,
69,I,Komollo+Elvis,Journal,Observations on slums and their touristification,"(Burgold et al., 2013) ",Slums,2013,Asia,American,Chapter 1,"Slums are spaces of social discrimination and socio-economic exclusion. Poor housing standards, high population density, insufficient infrastructure, crime and violence·         Slums as places of social discrimination",spaces of social discrimination,Negative,No,-,No,Diagnostic,,Social Discrimination,,,,
70,I,Komollo+Elvis,Journal,"Urban design and social capital in slums. Case study: Moravia's neighborhood, Medellin, 2004-2014","(Vilar & Cartes, 2016) ",Slums,2016,South America,European,Chapter 1,"Slums are located in undesired places such as on former dumpsites despite that, they contain a unique social group. Through incorporating urban design in slum upgrading both aesthetical and ethical power will be improved which will help in building up social capital of the people in the slum without necessarily destroying the uniqueness of the social groups in the slums.·         Adapt with great flexibility"," undesired places

slum upgrading

 urban fabric",Positive,No,-,No,Descriptive,Undesired Places,,,,,
71,I,Komollo+Elvis,Journal,"Main Life Concerns of Elderly in Urban Slums of Surat City, South Gujarat, India","(Naresh et al., 2012) ",Slums,2012,Asia,Asian,Chapter 1,"People in slums move into old age after a lifetime of poor nutrition, poverty, many years of hard labor and poor healthcare. The demolition threats of the illegal structures hence fear of becoming homeless, housing, livelihood and lack of recreation are major concerns of the elderly people in the slums. Poverty in slums also discourage the elderly to seek healthcare since the available healthcare centers have long queues making it hard for them to see the physician·         The demolition threats of the illegal structures","Demolition

Poor health",Negative,No,-,No,Diagnostic,,Health Concerns,,,,
72,I,Komollo+Elvis,Journal,The burden of disease profile of residents of Nairobi's slums: Results from a Demographic Surveillance System,"(Kyobutungi et al., 2008) ",Slums,2008,Africa,African,Introduction,"Poor economic performance in Sub Saharan Africa has led to the growth of slums characterized by underserved social services, unplanned and largely poor and underemployed residents.·         underserved social services, unplanned and largely poor and underemployed residents","Poor economic performance

high mortality rate",Negative,No,-,No,Diagnostic,,High Mortality Rtae,,,,
73,I,Komollo+Elvis,Journal,Slum prevalence in Nigeria: What role for architects,"(Bobadoye & Fakere, 2013) ",Slums,2013,Africa,African,Chapter 1,"Non secure land use tenure, inadequate planning of land use, poor construction, poverty and weak development control result to low quality housing which further produce slums characterized by dilapidated structures, flooding, overcrowding and unhygienic living conditions.·         Slums as places for positive social and environmental impacts compared to rural areas",positive social and environmental impacts,Neutral,No,-,No,Prescriptive,,,Social Cohesion,,,
74,I,Komollo+Elvis,Journal,The study of slums as social and physical constructs: challenges and emerging research opportunities,"(AGAY\.I & Sa?, 2020) ",Slums,2020,Africa,Asian,Chapter 1,"Slums experience spatial, economic and social challenges. This can be seen by the relevant government being unable to provide affordable housing despite people living in these slums being low-income earners ·         Exclusion from affordable housing","Affordable housing

Slum upgrading programs",Negative,No,-,No,Prescriptive,,,Slum Upgrading,,,
75,I,Komollo+Elvis,Journal,An introduction to environmental challenges of life in slum settlements of Tabriz,"(Moosavi, 2011)",Slums,2011,Asia,European,Introduction,"The authors states that in the recent years, almost all of the urban problems including poverty have been converging into environmental issues and among different aspects of urban life leading to environmental issues, informal or slum settlements have been much more problematic. ·         Poverty in urban areas converging into environmental issues","urban problems

environmental health problems",Negative,No,-,No,Descriptive,Problematic,,,,,
76,I,Komollo+Elvis,Journal,The Impact of Urban Growth on Slum Development in Mega City of Lagos (A Case Study of Ajegunle Lagos),"(Akinde j Olatunbosun & Olasokan. O. Olasunkanmi, 2019)",Slums,2019,Africa,African,Introduction,"Higher rates of unplanned in-migration in developing countries enhance economic growth in receiving cities but exacerbated many urban population problems such as unemployment, inadequate housing, food and water supply shortage, pollution, and traffic problems which are attributed to poor planning, therefore this research is aimed at analyzing the impact of urban growth on slum development in mega city of Lagos, and in order to achieve that, the researcher identified the prominent commercial activities in the study area, in order to identify if relationship exist between growth of the area and commercial activities in the area, which enables the researcher identify some environmental challenges facing the residents in order to know if the challenges can be linked to the commercial activities in the area, and to know if relationship exist between commercial activities and urban growth or slum development.·         Higher rates of unplanned in-migration with poor planning produce sums","unplanned in-migration

 ",Negative,No,-,No,Diagnostic,,Unplanned in-migration,,,,
77,I,Komollo+Elvis,Journal,Revisiting the mechanism behind the similar size of slums,"(Friesen & Pelz, 2020)",Slums,2007,Europe,European,Introduction,"According to the United Nations, about 1 billion persons live in so-called slums. Numerous studies have shown that this population is particularly vulnerable to infectious diseases. The current COVID-19 pandemic, caused by the novel coronavirus SARS-CoV-2, emphatically underlines this problem. The often-high-density living quarters coupled with a large number of persons per dwelling and the lack of adequate sanitation are reasons why measures to contain the pandemic only work to a limited extent in slums.Assignment to risk groups for severe courses of COVID-19 caused by non-communicable diseases (eg, cardiovascular diseases) is not possible due to inadequate data availability. Information on people living in slums and their health status is either unavailable or only exists for specific regions (eg, Nairobi","Risk groups

COVID 19 pandemic

slums",Negative,Yes,sampling,No,Diagnostic,,Risk Groups,,,,
78,I,Komollo+Elvis,Journal,Slums and crime rate: case study of kangondo cell.,MUNANA,Slums,2019,Africa,African,Chapter 1,"There are high crime rates in slums in Kigali which are caused by influence of drugs, poverty, poor settlement patterns and degeneration of values. Youths are the most occupants in slums, lack of occupation make them to end up in crimes for survival. Social order is broken in slums due to acute degeneration of morals. Most people living in slums cannot differentiate between right and wrong.·         Youths are the most occupants in slums",High crime rates,Negative,No,-,No,Diagnostic,,High Crime Rates,,,,
79,I,Komollo+Elvis,Journal,"Living conditions and public health status in three urban slums of Lagos, Nigeria","(Akinwale et al., 2014) ",Slums,2014,Africa,African,Chapter 1,"Urbanization has resulted to unplanned and uncontrolled development of slums in metropolitan Lagos that has led to unemployment, poverty, illiteracy, uncontrolled population growth, polluted environment and health problems. Most slum dwellers are low-income earners living in unhygienic conditions and also work in the informal sector. These places are densely populated. Rooms are shared and more than five people live in one. The slums have overstressed and poor facilities and inadequate electricity and water supplies which the residents have to use. Slums also lack good drainage and appropriate garbage disposal facilities. Practice of open defecation in ditches and the lagoons is highly practiced in slums. Flooding in the slum areas is also common due to blocked drainage systems resulting in diseases such as diarrhea, malaria and cough.·         Most slum dwellers are low-income earners living in unhygienic conditions","unplanned and uncontrolled development of slums

unhygienic conditions",Negative,No,-,No,Descriptive,Unplanned Developments,,,,,
80,I,Komollo+Elvis,Journal,Controversy Explodes Over Military Anti-Crime Operations in Rio Slums,"(Staff, 1994)",Slums,1994,South America,Asian,Introduction,"The Rio de Janeiro slum is known for drug related crime and violence which was at its pic. The nature of police has accelerated Rio’s crime problems. Drug lords control slums of the Rio de Janeiro city as fiefdoms. The high crime rate in the city is affecting the lucrative tourist business and also causing apprehension, violation of citizen’s fundamental rights and insecurity.·         crime and violence",crime problems,Negative,No,-,No,Diagnostic,,Crime,,,,
81,I,Komollo+Elvis,Journal,"Formalizing the informal: Understanding the position of informal settlements and slums in sustainable urbanization policies and strategies in Bandung, Indonesia","(Jones, 2017)",Slums,2017,Asia,American,Chapter 1,"Slums are marginalized communities without planning, control and compliance with town planning regulations. People in marginalized communities are often poor and low-income earners. Marginalized groups are a result of heterogeneous urban growth which have high delinquency and crime rates due to high population density, poverty and relief from pressure of official control and public opinion·         Slums are marginalized communities",marginalized communities,Negative,No,-,No,Diagnostic,,Marginalisation,,,,
82,I,Komollo+Elvis,Journal,Social resilience and civic entrepreneurship in self-help organizations: case study of the Kibera slum project,"(IRUNGU, 2011) ",Slums,2011,Africa,African,Chapter 1,"Slums contribute to environmental pollution through illegal dumping which is contributing to global warming, acid rains, land, and air and water pollution. Illegal dumping of waste is a serious challenge in Mathare Slum. Poor waste disposal poses a threat to the environment and public health if not controlled. 27.2% of household in the Mathare slum dispose their waste in streets, holes nearby river and in gutters while 14.9% use burning as their preferred method. Additionally, most people who lived near the dumpsite claimed the dumpsite to be ineffective because authorities delayed empting the dump site despite being overfilled·         Slums contribute to environmental pollution","environmental pollution

 Illegal dumping of waste

",Negative,Yes,sampling,Yes,Diagnostic,,Environmental Pollution,,,,
83,I,Komollo+Elvis,Journal,The challenge of slums toward a sustainable city,"(Sutiyarsi et al., 2019) ",Slums,2019,Asia,Asian,Chapter 1,Slums form on restricted urban areas due to increased number of urban dwellers. These slums trigger and impact on social issues.·         The limited urban land with the high price of land have made it difficult for people to obtain land for settlement making them to build houses on non-designated land for housing,"Restricted urban areas

Urbanization

natural increase",Negative,No,-,No,Descriptive,Conceptualization of slums,,,,,
84,I,Komollo+Elvis,Journal,Slum types and adaptation strategies: identifying policy-relevant differences in Bangalore,"(Krishna et al., 2014) ",Slums,2014,Asia,Asian,Introduction,Slums are ever changing landscapes which makes their plotting on maps largely a product of guesswork. There is difficulty in plotting the spatial boundaries of slums in city maps because of their continuous sprawl over time and their dismantling or relocation. ·         Slums are ever changing landscapes,"plotting the spatial boundaries of slums

 spectrum of habitation

policy interventions",Negative,No,-,No,Prescriptive,,,Policy Interventions,,,
85,I,Komollo+Elvis,Journal,"Taking the long view: 20 years of Muungano wa Wanavijiji, the Kenyan federation of slum dwellers","(Makau, 2011) ",Slums,2011,Africa,African,Introduction,Slums have different slum dwellers federations which are social movements that not only help the youths in these slums to move away from crime and poverty but also negotiate with the local authorities for services and security of land tenure. The security of tenure helps residents in the slums to transform the area with stone houses that replace the shacks.·         Slums have different slum dwellers federations which are social movements,"social movements

 local authorities",Neutral,No,-,No,Descriptive,Conceptualization of slums,,,,,
86,I,Komollo+Elvis,Journal,"Water, sanitation and hygiene in Bangladeshi slums: an evaluation of the WaterAid–Bangladesh urban programme","(Hanchett et al., 2003) ",Slums,2003,Asia,European,Introduction,"Slums are identified using characteristics such as predominantly poor housing, inadequate drinking water supplies, poor quality or lack of drainage and sewerage, few or no paved paths or streets and insufficient of no street lighting.·         Slums represent the most affordable housing options of low-income earners who live in expensive cities","most affordable housing options

undesired places ",Neutral,No,-,No,Descriptive,Undesired Places,,,,,
87,I,Komollo+Elvis,Journal,The efforts of a federation of slum and shanty dwellers to secure land and improve housing in Moratuwa: from savings groups to citywide strategies,"(D’Cruz et al., 2009) ",Slums,2009,Asia,European,Introduction,Slums have different federations which collaborate with the local authorities to provide adequate housing and secure land tenure for them. Slums that are central opt for multi storey residential due to scarcity of land.·         Federations,"federations

Local authorities",Positive,No,-,No,Descriptive,Conceptualization of slums,,,,,
88,I,Komollo+Elvis,Journal,Do neighbourhood facilities matter for slum housing? Evidence from Indian slum clusters,"(Mitra et al., 2017) ",Slums,2017,Asia,Asian,Introduction,The author states that slum upgrading affects the social contract and social cohesion of slum dwellers hence affecting their resilience in the long run.·         Slum upgrading affects the social contract and social cohesion of slum dwellers hence affecting their resilience in the long run.,"Slum upgrading

Social cohesion

",Negative,No,-,No,Prescriptive,,,Slum Upgrading,,,
89,I,Komollo+Elvis,Journal,"Our needs, our priorities; women and men from the slums in Mumbai and Pune talk about their needs for water and sanitation","(Bapat & Agarwal, 2003) ",Slums,2003,Asia,Asian,Chapter 1,"Slums are located on undesired places. The interviewees in the research live in variety of circumstances including swampy areas, steep slopes, besides railway tracks and on pavements.·         Slums are located on undesired places.","undesired places

",Negative,No,-,No,Descriptive,Undesired Places,,,,,
90,I,Komollo+Elvis,Journal,Mapping slums in a historic city: representing working class communities in Edwardian Norwich,"(Doyle, 2001) ",Slums,2001,Europe,European,Chapter 1,"In trying to understand how historic cities mapped slums, the author highlights the different characteristics such as overcrowding and unsanitary conditions. The view of the middle class and the media also created a negative reputation and image of these areas as places where evil dominated. There was no representation of slums. This was letter critiqued by Mayne in 1990s who argued that slums are myths produced by urban reformers and the press to reinforce middle class values as a result they created stereotypes about slums that collapsed the diversity of culture, form and experience of lives and housing of the poor into a one dimensional world populated by scenery and stock characters·         The view of the middle class and the media also created a negative reputation and image of slums as places where evil dominated","urban reformers

Stereotypes",Positive,No,-,No,Prescriptive,,,Urban Reforms,,,
91,I,Komollo+Elvis,Journal,"Urbanization, slums, and the carbon intensity of well-being: implications for sustainable development","(Givens, 2015)",Slums,2015,Africa,American,Chapter 1,Urbanization takes different forms and Urban slums are a particular form of urbanization. Urban Slums have been associated to having lower carbon intensity of wellbeing which is related to the under consumption ·         Urban slums are a particular form of urbanization,"urbanization

Urban slums

Low carbon intensity",Positive,No,-,No,Descriptive,Conceptualization of slums,,,,,
92,I,Komollo+Elvis,Journal,"The perversity of the 'Citizenship Game': Slum-upgrading in the urban periphery of Recife, Brazil","(Nuijten, 2013)",Slums,2013,South America,European,Chapter 1,The articles breaks the monotony of most researchers who dwell on the negativity of slums. The author states that slums give accommodation to poor individuals and households despite being a temporary structure erected on a pavement. ·         slums give accommodation to poor individuals and households despite being a temporary structure erected on a pavement,"negativity of slums

housing problems",Positive,No,-,No,Descriptive,Conceptualization of slums,,,,,
93,I,Komollo+Elvis,Journal,The prevalence of slums,"(Amis, 2001) ",Slums,2001,Asia,Asian,Chapter 1,"The article highlights the failure of site and service schemes failing in the process of slum upgrading to reach their target groups and becoming middle class housing settlements through illegal means. These service schemes are concerned with the provision of infrastructure, saving groups, construction of community centers and primary health care.·         failure of site and service schemes due to their location","Site and service schemes

slum upgrading


",Negative,No,-,No,Prescriptive,,,Slum Upgrading,,,
94,I,Komollo+Elvis,Journal,Urban Regeneration and the Housing Preferences of Ghanaian Slum Dwellers,"(Tipple & Ameen, 1998) ",Slums,1998,Asia,American,Chapter 1,"Worse housing conditions are predominant in slums. These housing conditions include physical condition of buildings, issues of space occupied per household, services available and house layout including availability of open space and privacy.·         Worse housing conditions are predominant in slums","Housing conditions

",Negative,No,-,No,Diagnostic,,Housing Concerns,,,,
95,I,Komollo+Elvis,Journal,Land for housing the poor—by the poor: experiences from the Baan Mankong nationwide slum upgrading programme in Thailand,"(Boonyabancha, 2009) ",Slums,2009,Asia,African,Chapter 1,"Slums and squatter settlements in Asia continue to increase in size despite most Asian governments stating that there is not enough urban land for housing the poor. Most land that the poor settle on does not belong to them thus its illegal and it’s not secure. This characterizes slums as a direct product of land mismanagement and the city’s failure to address the basic housing needs of the poor which brings about social consequences of slums, illegality and anarchy which everyone deplores.·         not enough urban land for housing the poor","Squatter settlements

land mismanagement

community organizations",Negative,No,-,No,Diagnostic,,Land Tenure Concerns,,,,
96,I,Komollo+Elvis,Journal,Gender in two slum cultures,"(Thorbek, 1991)",Slums,1991,Asia,European,Chapter 1,"The urbanization and daily life in slums is influenced by structural factors such as the separation of family and work, dominance of waged workers and the state policies which are beyond the control of people themselves.urbanization and daily life in slums is influenced by structural factors","Urbanization

Gender struggles",Negative,No,-,No,Descriptive,Conceptualization of slums,,,,,
97,I,Komollo+Elvis,Journal,Of slime moulds and smart slums–Kolkata informal settlements and the tale of a failed canal reclamation project,"(Chakrabarty, 2016) ",Slums,2016,Asia,Asian,Introduction,"The article argues that informal settlements are like slime mould where problems are solved by drawing on a variety of information from the multitude of small, relatively simple and local elements rather than from some power elite or single brain.·         informal settlements are like slime mould",informal settlements,Positive,No,-,No,Descriptive,Conceptualization of slums,,,,,
98,I,Komollo+Elvis,Journal,Local and participatory approaches to building resilience in informal settlements in Uganda,"(Dobson et al., 2015) ",Slums,2015,Asia,American,Introduction,"People living in low income and informal settlements in and around urban centers are most vulnerable to the effects of climate change. Residence of these communities have come up with ways and have shown great progress in urban resilience. In the case of Uganda, the National Slum Dwellers Federation of Uganda has helped slum dwellers respond to a variety of challenges thus contributing to resilience not only at the individual and household scale but also at community and city scale.·         Slum dwellers as people vulnerable to the effects of climate change","urban resilience

climate change",Positive,No,-,No,Prescriptive,,,Resilience,,,
99,I,Komollo+Elvis,Journal,Measuring slum severity in Mumbai and Kolkata: A household-based approach,"(Patel et al., 2012) ",Slums,2012,Asia,Asian,Introduction,"Poverty is an increasing urban phenomenon. Organized communities of the poor are playing a great role in negotiating, defining and addressing the issues of urban poverty. The Slum Dwellers International has identified concerns of slum dwellers including land tenure, livelihoods, housing, service provision and citizenship and suggests ways to politically negotiate and resolve the concerns in a pro poor way.·         Organized communities of the poor are playing a great role in negotiating, defining and addressing the issues of urban poverty","Poverty

Organized communities of the poor 

urban poor

alternative lands for housing",Negative,Yes,sampling,No,Diagnostic,,Poverty,,,,
