S/NO,PHASE,NAME OF ANALYST,"DOCUMENT TYPE (book, Journal article, Report, Statutes, Newspaper)",TITTLE OF PUBLICATION,AUTHOR,APPLICABLE NOMENCLATURE(KEY NAME USED),YEAR OF PUBLICATION,NATIONALITY/ORIGIN/EXTRACTION OF AUTHOR,CONTINENT OF STUDY,SECTION OF THE ARTICLE ANALYSED,BRIEF DESCRIPTION OF THE ARTICLE,"DESCRIPTIVE TERMS/ADJECTIVES/ADJECTIVAL PHRASES (e.g. filthy, dirty, undesirable)",POSITIONALITY OF ARTICLE,USE OF STATISTICS,SOURCE OF STATISTICS,CITE 'UN-habitat 2003 STUDY ON SLUMS',"CATEGORISATION OF PUBLICATION( descriptive, diagnostic(identify problems), Prescriptive, theoretical)","Descriptive studies( nature of slums(conceptualization), health concerns, housing, water, sanitation, nutrition,land, approaches to slum Upgrading)","Diagnostic (strategies, policy gaps/challenges, tenure concerns, public health concerns, environmental concerns, marginalisation(inclusion, exclusion)]","Prescriptive[inclusivity/tackling marginalisation, slum upgrading/improvement, security improvement,","Theoretical( theories, liberal/neo-liberal theories, colonial/post colonial theories, political economy)",REFERENCE{MENDELEY},SOURCE/WEB LINK
187,II,KORIR BRIAN,Journal,"Are livelihoods of slum dwellers sustainable and secure in developing economies? Evidences from Lucknow, Uttar Pradesh in India","Sanatan Nayak, Surendra Singh Jatav",Slums,2023,Asian,Asian,Abstract,"Sustainable Livelihood Security approach to assess living conditions of slum dwellers, bring out the multidimensional nature of poverty and explored various aspects of the livelihood of slum dwellers","poverty, insecure, ill health",Negative,No,"Surveys, Household approach of the UN, neighborhood approach of the government of India",Yes,Descriptive,,,sustainable slum livelihoods,,"Sanatan Nayak, Surendra Singh Jatav, Are livelihoods of slum dwellers sustainable and secure in developing economies? Evidences from Lucknow, uttar Pradesh in India, Volume 9, Issue 9, 2023",https://doi.org/10.1016/j.heliyon.2023.e19177
188,II,KORIR BRIAN,Journal,Spatial and temporal impacts on socio-economic conditions in the Yangon slums,"Nyi Linn Maung, Akiyuki Kawasaki, Sunil Amrith",Slums,2023,Asian,Asian,Abstract,"Comprises an enormous population of poor urban dwellers, characterized by lack of basic amenities education, health services and a volatile labour market. Inefficient regional planning policies as governments isolate this communities","unhealthy, inaddequate services, inefficient, illegal",Negative,No,Military state Administration Council,No,Descriptive,socio-economic life in slums,,,,"Nyi Linn Maung, Akiyuki Kawasaki, Sunil Amrith Spatial and temporal impacts on socio-economic conditions in the Yangon slums Habitat International, Volume 134, 2023",https://doi.org/10.1016/j.habitatint.2023.102768
189,II,KORIR BRIAN,Book,Slum Upgrading: Assessing the importance of location and a plea for spatial approach,"Koen Olthuis, Jiya Benni, Kristin Eichwede",Slums,2015,Asian,Asian,Abstract,slum upgrading projects implemented to improve the living conditions of slum dwellers. Slum  dynamics are influenced by location and as slums are considered temporary there is low incentive to invest in them thus pushing slums into a negative spiral,"dynamic, temporary, poor, substandard",Negative,No,"UN 2011, United Nations Settlement Programme 2013",Yes,Descriptive,,,Improvement of spatial planning for space in slums and informal settlements,,"Olthuis, K., Benni, J., Eichwede, K., & Zevenbergen, C. (2015). Slum Upgrading: Assessing the importance of location and a plea for a spatial approach. Habitat International, 50, 270288. https://doi.org/10.1016/j.habitatint.2015.08.033",https://doi.org/10.1016/j.habitatint.2015.08.033
190,II,KORIR BRIAN,Book,An ontology of slums for image-based classification,D. Kohli et al,Slums,2012,European,European,Abstract,"Traditional data collection methods lack information on spatial distribution of slum dwellers, the generic slum ontology comprises morphology of the built environment, the environs level, the settlement level and the object level","Generic, substandard, diverse, poor",Negative,No,UN-habitat 2010,Yes,Descriptive,,,,Slum classification theories,"Kohli, D., Sliuzas, R., Kerle, N., & Stein, A. (2012). An ontology of slums for image-based classification. Computers, Environment and Urban Systems",https://doi.org/10.1016/j.compenvurbsys.2011.11.001
191,II,KORIR BRIAN,Journal,"Spatio-temporal modelling of informal settlement development in Sancaktepe district, Istanbul, Turkey",O. Dubovyk et al.,Informal Settlements,2011,European,European,Abstract,"Informal settlements exaggerate social and environmental problems and impede sustainable development. Use of spatial factors to predict new informal settlements location, population density, slope and proportion of informal settlements were the main triggers in of the settlements","Uncontrolled, degradation, illegal, unplanned",Negative,No,"UN-habitat 2003, Geographic information Systems based modelling",Yes,Descriptive,,,,Spatial temporal modelling of slums,"Dubovyk, O., Sliuzas, R., & Flacke, J. (2011). Spatio-temporal modelling of informal settlement development in Sancaktepe district, Istanbul, Turkey. ISPRS Journal of Photogrammetry and Remote Sensing, 66(2), 235246. https://doi.org/10.1016/j.isprsjprs.2010.10.002",https://doi.org/10.1016/j.isprsjprs.2010.10.002
192,II,KORIR BRIAN,Book,An analysis of informal settlement upgrading and critique of existing methodological approaches,John Abbott,Informal Settlements,2002,African,African,Abstract,"Major cities have informal settlements that house 10-20% of the population, the number of families living under the informal settlements is growing at an alarming rate, planning requires a shared vision and reinforce a generic planning framework.","unplanned, congested, high birth rates",Negative,No,"UN-habitat, United Nations Settlement Programme",Yes,Descriptive,,Challenges and approaches to slums and squatter settlements,,,"Abbott, J. (2002). An analysis of informal settlement upgrading and critique of existing methodological approaches. Habitat International, 26(3), 303315. https://doi.org/10.1016/S0197-3975(01)00049-2",https://doi.org/10.1016/S0197-3975(01)00049-2
193,II,KORIR BRIAN,Journal,Secure land tenure for urban slum-dwellers: A conjoint experiment in Kenya,Mutinda et.al,Slums,2019,African,African,Abstract,Slum dwellers prefer a more secure land tenure type rather than contested land. Slum dwellers cant afford there preference on a more secure land tenure and an improved living conditions,"illegal, insecure, prone to evictions",Negative,No,UN-habitat,Yes,Descriptive,Land tenure of slums,,,,"Kim, H.-S., Yoon, Y., & Mutinda, M. (2019). Secure land tenure for urban slum-dwellers: A conjoint experiment in Kenya. Habitat International, 93, 102048. https://doi.org/10.1016/j.habitatint.2019.102048",https://doi.org/10.1016/j.habitatint.2019.102048
194,II,KORIR BRIAN,Journal,Urban upgrading of slums: Baghdad and London slums as study models for urban rehabilitation,Ali Dhafer,Slums,2023,Asian,Asian,Abstract,slums have been in the form of scattered construction and chaotic gatherings that do not follow any planning standards. Slum areas were provided with all the necessary services in accordance with the urban housing standards specific to each city to turn it into a residential neighbourhood instead of calling it a slum region.,"unplanned, illegal, accessible",Negative,No,"United Nations Housing and Settlement Program , 2020",Yes,Descriptive,,,slum  upgrading,,"Abed, A. D. (2023). Urban upgrading of slums: Baghdad and London slums as study models for urban rehabilitation. Computational Urban Science, 3(1), 31. https://doi.org/10.1007/s43762-023-00106-w",https://link.springer.com/article/10.1007/s43762-023-00106-w
195,II,KORIR BRIAN,Journal,"Health status of people of slums in Nairobi, Kenya",G. Gulis et al.,Slums,2004,African,African,Abstract,"A very high prevalence of respiratory complaints and gastrointestinal problems signify air pollution, low water provision, poor waste management in slums can lead to more significant and sustainable improvements in health status than just treatment","pollution, unhealthy, poverty",Negative,No,"population sample, health paper card database",No,Descriptive,Helath nature of slums,,,,"Gulis, G., Mulumba, J. A. A., Juma, O., & Kakosova, B. (2004). Health status of people of slums in Nairobi, Kenya. Environmental Research, 96(2), 219227. https://doi.org/10.1016/j.envres.2004.01.016",https://doi.org/10.1016/j.envres.2004.01.016
196,II,KORIR BRIAN,Journal,"Evaluation of slum improvements: Case study in Visakhapatnam, India",Peter Abelson,Slums,1996,Asian,Asian,Abstract,"Evaluates methods for slum improvement including land and house prices, income changes, contingent valuation, switching values and cost effectiveness. The results are sensitive to assumptions about recurrent maintenance expenditures. The article concludes the government supporting poor communities.","low income, ineffective, congested",Negative,No,"Population sample, health care records",No,Descriptive,,slum improvement,,,"Abelson, P. (1996). Evaluation of slum improvements: Case study in Visakhapatnam, India. Cities, 13(2), 97108. https://doi.org/10.1016/0264-2751(95)00129-8",https://www.sciencedirect.com/science/article/pii/0264275195001298
197,II,KORIR BRIAN,Book,Behind Ghetto Walls: Black Families in a Federal Slum.,"Rainwater, Lee",Ghetto,1970,North American,North American,Abstract,"studied problems in public housing projects in Pruitt- Igoe. Classified the tenants as low class black people, the informal relationships among families in a slum environment","low-class, inequality, poverty",Negative,No,"Surveys, Household Questionniare",No,Descriptive,Nature of slums,,,,,https://eric.ed.gov/?q=descriptor%3a%22Slums%22&pg=11&id=ED058342
198,II,KORIR BRIAN,Journal,"Migration and Vulnerability among Adolescents in Slum Areas of Addis Ababa, Ethiopia",Erulkar et. Al,Slums,2006,African,African,Abstract,"23% of boys and 45 % of girls have migrated to the city from rural areas during the transitions to adulthood, female migrants moved to escape early marriages, lack parental, schooling and social connectedness","Lack parental presence, illeteracy, movement",Negative,No,Population based Survey,No,Descriptive,Migration trends in Urban slums,,,,"Erulkar, A. S., Mekbib, T.-A., Simie, N., & Gulema, T. (2006). Migration and Vulnerability among Adolescents in Slum Areas of Addis Ababa, Ethiopia. Journal of Youth Studies, 9(3), 361374. https://doi.org/10.1080/13676260600805697",https://eric.ed.gov/?redir=http%3a%2f%2fwww.informaworld.com%2fopenurl%3fgenre%3darticle%26id%3ddoi%3a10.1080%2f13676260600805697
199,II,KORIR BRIAN,Journal,Slum real estate: The low-quality high-price puzzle in Nairobi's slum rental market and its implications for theory and practice,Gulyani et. Al,Slums,2008,African,African,Abstract,slums are believed to offer low- quality low cost shelter to a population that cannot afford better standards. Slums provide low quality high cost shelter. Although tenants pay millions in rents very little is being re-invested to upgrade quality to improve quality of living conditions .,"low cost, substandard houing, unstable, pollution",Negative,No,Household surveys,No,Descriptive,,Economic challenges associated with slums,,,"Gulyani, S., & Talukdar, D. (2008). Slum Real Estate: The Low-Quality High-Price Puzzle in Nairobis Slum Rental Market and its Implications for Theory and Practice. World Development, 36(10), 19161937. https://doi.org/10.1016/j.worlddev.2008.02.010",https://doi.org/10.1016/j.worlddev.2008.02.010
200,II,KORIR BRIAN,Journal,Do land use regulations help give rise to informal settlements? Evidence from Buenos Aires,Cynthia et. Al,Informal Settlements,2023,South American,South American,Abstract,"land use policies influence formation of informal settlements by restricting the absorptive power of the formal sector. This informal neighbourhoods are built without regard to construction or regulatory standards, lack basic infrastructure services and provide owners no property rights","illegal, substandard, poor, irregular",Negative,No,"United Nations, 2014",Yes,Descriptive,,Challenges of land regulations to slum improvement,,,"Goytia, C., Heikkila, E. J., & Pasquini, R. A. (2023). Do land use regulations help give rise to informal settlements? Evidence from Buenos Aires. Land Use Policy, 125, 106484. https://doi.org/10.1016/j.landusepol.2022.106484",https://doi.org/10.1016/j.landusepol.2022.106484
201,II,KORIR BRIAN,Journal,Quantitative and qualitative demand for slum and non-slum housing in Delhi: empirical evidence from household data,S. Ahmad et al.,Slums,2013,Asian,Asian,Abstract,"44% of urban households live in slums Delhi, the capital city of India, the urbanization level reached 93% according to 2001 census data whereas housing shortage in urban Delhi was estimated as 1.13 million as on 2007. As a result, about three-fourth of Delhis population lives in uncontrolled urban settlements, including slums and squatters","uncontrolled, poor, squatting, inadequate",Negative,No,"Household Survey data, UN-habitat 2003",Yes,Descriptive,qualitative and quatitative nature and challenges of slums,,,,"Ahmad, S., Choi, M. J., & Ko, J. (2013). Quantitative and qualitative demand for slum and non-slum housing in Delhi: Empirical evidences from household data. Habitat International, 38, 9099. https://doi.org/10.1016/j.habitatint.2012.02.003",https://doi.org/10.1016/j.habitatint.2012.02.003
202,II,KORIR BRIAN,Journal,Cost of being a slum dweller in Nairobi: living under dismal conditions but still paying a housing rent premium,Debabrata Talukdar,Slums,2018,African,African,Abstract,"Slum dwellers face major disparity gaps, with higher problems associated with basic services such as water and sanitation, Nairobi's slums tenants are paying relatively low as compared to their formal counterparts","low cost, disparities, poor, unhealthy",Negative,No,"United Nations, 2014",Yes,Descriptive,,High cost of housing in slums within Nairobi,,,"Talukdar, D. (2018). Cost of being a slum dweller in Nairobi: Living under dismal conditions but still paying a housing rent premium. World Development, 109, 4256. https://doi.org/10.1016/j.worlddev.2018.04.002",https://doi.org/10.1016/j.worlddev.2018.04.002
203,II,KORIR BRIAN,Journal,Does living in slums or non slums influence women's nutritional status? Evidence from Indian mega cities,Gaur et.al,Slums,2013,Asian,Asian,Abstract,"this article examines the difference in distribution between the nutritional status across eight Indian mega cities, results show that one in every two women in mega cities is malnourished. Overweight is experienced in women from non slum areas while underweight women are persistent in slum areas","malnourished, unhealthy, poor, unstable",Negative,No,Population Sample,No,Descriptive,,"Health, nutritional challenges of women with India cities and slums",,,"Gaur, K., Keshri, K., & Joe, W. (2013). Does living in slums or non-slums influence womens nutritional status? Evidence from Indian mega-cities. Social Science & Medicine, 77, 137146. https://doi.org/10.1016/j.socscimed.2012.11.017",https://www.sciencedirect.com/science/article/pii/S0277953612007666
204,II,KORIR BRIAN,Journal,"Squatter Settlements. Their sustainability, architectural contributions and socioeconomic roles",Cedric Pugh,Squatter Settlements,2000,European,European,Abstract,Poor environmental quality is estimated to be directly responsible for 25% of all preventable ill-health in the world. Diseases reduces incomes and poverty raises the risk of ill health. Improvement of squatter areas can reduce the risks and improve the urban health transitions among the poor.,"unhealthy, risk prone, inequality, poor",Negative,No,"World Health Organization, 1998",No,Descriptive,"Sustainability, architectural contributions and socio-economic roles of informal settlements",,,,"Pugh, C. (2000). Squatter settlements: Their sustainability, architectural contributions, and socio-economic roles. Cities, 17(5), 325337. https://doi.org/10.1016/S0264-2751(00)00029-9",https://www.sciencedirect.com/science/article/pii/S0264275100000299
205,II,KORIR BRIAN,Journal,A configurational morphogenesis of incremental urbanism: A comparative study of the access network transformations in informal settlements,Aminreza et. Al,Informal Settlements,2023,European,European,Abstract,the rapid growth of informal settlements as well as the critical and complex role they play in forming future cities. These settlements have a an impact on related policies and actions as some may view them as aesthetic while others will want them demolished. informal settlements are key urban challenges around the globe and a view on how they can be integrated into the broader urban environments and structures can be normalised.,"Underprivileged, critical, creativity",Negative,No,UN-habitat 2006-2020,Yes,Descriptive,,,,"Incremental urbanism,Transformation of access networks in informal settlements","Iranmanesh, A., & Kamalipour, H. (2023). A configurational morphogenesis of incremental urbanism: A comparative study of the access network transformations in informal settlements. Cities, 140, 104444. https://doi.org/10.1016/j.cities.2023.104444",https://www.sciencedirect.com/science/article/pii/S0264275123002561
206,II,KORIR BRIAN,Journal,Electricity and informal settlements: towards achieving SDG 7 in developing countries,James Kwame,Informal Settlements,2022,African,African,Abstract,Using the concept of tactical urbanism this study examined electricity delivery and access to informal dwellers. The study showed that despite increase in access it is a result of corruption and connivance with electricity officials.,"Reliable, affordable, opportunities, fast growing",Negative,No,Sustainable Development Goals,No,Descriptive,,,challenges of providing electricity to informal settlements and offers recommendations for achieving SDG 7 in developing countries.,,"Mensah, J. K. (2022). Electricity and informal settlements: Towards achieving SDG 7 in developing countries. Energy Research & Social Science, 93, 102844. https://doi.org/10.1016/j.erss.2022.102844",https://doi.org/10.1016/S0264-2751(00)00029-9
207,II,KORIR BRIAN,Journal,Vulnerability and everyday health risks of urban informal settlements in sub urban Africa,Alexandre et.al,Informal Settlements,2020,African,African,Abstract,about one billion people live in poor urban areas. This numbers are projected to increase while sub Sahara Africa is projected to lead due to its high rate of urbanization. There is a high risk of communicable and non- communicable diseases with children under five being the most vulnerable who most likely increase rate of mortality,"risk prone, unhealthy, poor",Negative,No,World Health Organization,No,Descriptive,,challenges and opportunities of multilevel governance in slums.,,,"Zerbo, A., Delgado, R. C., & González, P. A. (2020). Vulnerability and everyday health risks of urban informal settlements in Sub-Saharan Africa. Global Health Journal, 4(2), 4650. https://doi.org/10.1016/j.glohj.2020.04.003",https://www.sciencedirect.com/science/article/pii/S241464472030021X
208,II,KORIR BRIAN,Journal,"Slums, Slum dwellers and Multilevel Governance",Isabelle Milbert,Slums,2006,European,European,Abstract,cities in the south have to contend with spatial fragmentation and growing economic inequalities. The international community tries to create and fund public policies to be implemented in this areas such as clearance upgrading or resettlement,"Inequalities, fragmented, resettlement",Negative,No,UN-habitat,Yes,Descriptive,Opportunites of multilevel governance in slums,,,,"Milbert, I. (2006). Slums, Slum Dwellers and Multilevel Governance. The EuropeanJournal of Development Research, 18(2), 299318. https://doi.org/10.1080/09578810600717222",https://doi.org/10.1080/09578810600717222
209,II,KORIR BRIAN,Journal,Slumification of Consolidated Informal settlements: A largely Unseen Challenge,Azhar et. Al,Informal Settlements,2021,North American,North American,Abstract,this article compares different types of consolidated settlements that are located in the inner burbs of the first suburbs. Some authors argue there is need for a new policy imperatives of housing and community rehab to overcome deterioration and dilapidation. there is a distress to physical fabric of dwellings and communities,"dilapidated, unstable, poor, sprawl",Negative,No,Latin America Housing Network,No,Descriptive,Nature of slums(consolidatio of informal settlement),,,,"Azhar, A., Buttrey, H., & Ward, P. M. (2021). Slumification of Consolidated Informal Settlements: A Largely Unseen Challenge. Current Urban Studies, 9(3), Article 3. https://doi.org/10.4236/cus.2021.93020",https://www.scirp.org/journal/paperinformation.aspx?paperid=110593
210,II,KORIR BRIAN,Journal,"Squatting is still legal, necessary and Free: A brief Intervention in the Corporate City",Paul Chatterton,Squatter Settlements,2002,European,European,Abstract,"squatting solves homelessness, empty properties and speculations and provide homes for those that cant get public housing and who cant afford expensive rents and squatters provide space for community projects","cheap, substandard, homeless",Negative,No,_,No,Descriptive,,,,Legalizaiton of squattinf and the corporate city,"Chatterton, P. (2002). Squatting is Still Legal, Necessary and Free: A Brief Intervention in the Corporate City. Antipode, 34(1), 17. https://doi.org/10.1111/1467-8330.00223",https://onlinelibrary.wiley.com/doi/abs/10.1111/1467-8330.00223
211,II,KORIR BRIAN,Journal,Sustainable Informal Settlements,Kim Dovey,Informal Settlements,2015,Asian,Asian,Abstract,"Informal settlements transgress the formal codes of the state in terms of land tenure urban planning, design and construction. Informal settlement embody informal practices of sociality and economic production that are not easily retained in transformation to formal housing","illegal, unplanned, uncontrolled",Negative,No,UN-habitat 2006,Yes,Descriptive,Nature of sustainable informal settlements,,,,"Dovey, K. (2015). Sustainable Informal Settlements? Procedia - Social and Behavioral Sciences, 179, 513. https://doi.org/10.1016/j.sbspro.2015.02.406",https://linkinghub.elsevier.com/retrieve/pii/S1877042815017607
212,II,KORIR BRIAN,Book,"Squatters in the Capitalist City: Housing , Justice and urban politics",Miguel A Martinez,Squatter Settlements,2020,North American,North American,Abstract,"Squatters present a Descriptive of the movements in Europeancities according to their major social, political and spatial dimensions. This book presents that squatting is not a set of isolated, illegal, and marginal practices but a long lasting urban and transnational movement","critical, squatting, isolated, illegal, substandard",Negative,No,Squatted Social Centre,No,Descriptive,,,,"Capitalist city, Urban politics","Martínez, M. A. (2020). Squatters in the Capitalist City: Housing, Justice, and Urban Politics. Taylor & Francis. https://doi.org/10.4324/9781315719023",https://library.oapen.org/handle/20.500.12657/54075
213,II,KORIR BRIAN,Journal,Informal Housing Practices,Pranita et al,Informal Settlements,2021,Asian,Asian,Abstract,"A slum household as suffering from one or more household deprivations including a lack of access to water or sanitation facilities; insufficient living space, substandard dwelling and insecure land tenure","unhealthy, insufficient, insecure tenure",Negative,No,UN-habitat,Yes,Descriptive,Nature of informal housing,,,,"Shrestha, P., Gurran, N., & Maalsen, S. (2021). Informal housing practices. International Journal of Housing Policy, 21(2), 157168. https://doi.org/10.1080/19491247.2021.1893982",https://doi.org/10.1080/19491247.2021.1893982
214,II,KORIR BRIAN,Journal,The Informal City and the Phenomenon of Slums: The challenges of slum upgrading and slum prevention,Claudio Acioly Jr,Slums,2009,European,European,Abstract,development goals seek to achieve significant improvements in lives of slum dwellers. Government face a challenge in that they must not only improve existing conditions but also slow growth off new informal settlements,"Everchanging, slow growth, uncontrolled",Negative,No,UN-habitat 2010,Yes,Descriptive,,challenges of slum upgrading and prevention in the informal city.,,,"Acioly Jr. Claudio (2010) The Informal City and the Phenomenon of Slums: the challenges of slum upgrading and slum prevention, in International New Town Institute (2010) New Towns for the 21st Century. The Planned vs. the Unplanned City. Amsterdam: SUN architecture, pp. 222-231.",claudioacioly.com/sites/default/files/2020-02/101 2010_Acioly_Informal City %26 the Phenomenon of Slums.pdf
215,II,KORIR BRIAN,Book,Informal Settlements as a mode of production,Kim Dovey,Informal Settlements,2019,Australian,Australian,Abstract,Informal settlements are neighbourhoods developed largely without state control that currently house over a billion people globally. This is where action has been happening in urban development and that means they cannot be erased or replaced easily. Informal settlement can be a mode of production that works both with and against the formal structures of the city,"opportunities, underappreciated, irreplaceable",Negative,No,-,No,Descriptive,,,,This article argues that informal settlements can be seen as a mode of production.,"Dovey, K. (2019). Informal Settlement as a Mode of Production. In The New Companion to Urban Design. Routledge.",http://www.taylorfrancis.com
216,II,KORIR BRIAN,Journal,The Theory and reality of Urban Slums; Pathways out of poverty or cul-de -sacs?,Ivan et.al,Slums,2018,African,African,Abstract,this article explores contrasting perspectives on the role of informal settlements in urban labour markets. One proposes a path to prosperity through access to urban opportunities while the other suggests that the debilitating conditions confine residents top enduring hardships and insecurity,"dilapidated, inequality, prosperous",Negative,No,South African Census,No,Descriptive,,,,theory and reality of urban slums,"Turok, I., & Borel-Saladin, J. (2018). The theory and reality of urban slums: Pathways-out-of-poverty or cul-de-sacs? Urban Studies, 55(4), 767789. https://doi.org/10.1177/0042098016671109",https://doi.org/10.1177/0042098016671109
217,II,KORIR BRIAN,Journal,The birds have nested: design direction for informal settlements,Abigail Goldberg,Informal Settlements,1996,African,African,Abstract,in most cities informal settlements are both the most common residential context and dominant means of obtaining housing. This journal aims at highlighting the problems and potentials of informal settlements and review broad brush design directions for their upgrading,"dominant, shortages, persistent",Negative,No,UN-habitat,Yes,Descriptive,,,This article offers design directions for informal settlements.,,"Goldberg, A. (1996). The birds have nested: Design direction for informal settlements. URBAN DESIGN International, 1(1), 315. https://doi.org/10.1057/udi.1996.2",https://doi.org/10.1057/udi.1996.2
218,II,KORIR BRIAN,Journal,Opportunities and Limits to market driven sanitation: Evidence from urban Informal settlements in East Africa,Mark et.al,Informal Settlements,2015,African,African,Abstract,to improve sanitation conditions in slums is difficult  in part because of economic and institutional environments that prevent private and public investment in Infrastructure. This article identifies the main actors involved in the provision of overlapping sanitation systems involving a multitude of small scale providers,"overlapping, unhealthy, degradation",Negative,No,World Health Organization,No,Descriptive,,,opportunities and limits to market-driven sanitation services in urban informal settlements in East Africa.,,"Opportunities and limits to market-driven sanitation services: Evidence from urban informal settlements in East AfricaMark OKeefe, Christoph Lüthi, Innocent Kamara Tumwebaze, Robert Tobias, 2015. (n.d.). Retrieved 13 October 2023, from https://journals.sagepub.com/doi/full/10.1177/0956247815581758",https://journals.sagepub.com/doi/full/10.1177/0956247815581758
219,II,KORIR BRIAN,Journal,Land Tenure Security in Informal Settlements of Kigali City. Case study in Muhima Sector,Bizimana et.al,Informal Settlements,2012,African,African,Abstract,"Rapid urbanization of Kigali City is a direct consequence of increasing development of informal settlements in the city. This research sought to identify challenges related to land tenure systems in informal settlement, analyse problem related to lack of land ownership, asses existing planning policies","illegal tenure, inequality,",Negative,No,UN-habitat,Yes,Descriptive,,Land tenure security in informal settlements,,,"Bizimana, J. P., Mugiraneza, T., Twarabamenye, E., & Mukeshimana, M. R. (2012). Land Tenure Security in Informal Settlements of Kigali City. Case study in Muhima Sector. Rwanda Journal, 25, 86100. https://doi.org/10.4314/rj.v25i1.6",https://www.ajol.info/index.php/rj/article/view/78916
220,II,KORIR BRIAN,Journal,Catalysing self-sustaining sanitation chains in informal settlements,Tsinda et.al,Informal Settlements,2012,African,African,Abstract,"report examines what is already known about the provision of sanitation in poor urban informal settlements of Kigali. It analyses the social, economic, legal and policy frameworks that govern the provision of sanitation and how they facilitate or hinder access to sanitation in low income urban communities","poor, illegal, low income, provisions",Negative,No,World Health Education,No,Descriptive,,"examines the situation pertaining to the provision of sanitation to low-income settlements in Kigali City, Rwanda, and offers recommendations for catalyzing self-sustaining sanitation chains.",,,"Tsinda, A., & Abbott, P. (2012). Catalysing self-sustaining sanitation chains in informal settlements: A review and analysis of the situation pertaining to the provision of sanitation to low-income settlements in Kigali City (Rwanda): Diagnostic report. https://opendocs.ids.ac.uk/opendocs/handle/20.500.12413/9620",https://link.springer.com/book/10.1057/978-1-349-95314-1
221,II,KORIR BRIAN,Book,Slums of the World: The Face of urban poverty in the new millennium,Eduardo Lopez Moreno,Slums,2003,South American,South American,Abstract,"with the new millennium the world is returning to some of its fundamental unresolved questions the issues of equity, sustainability, poverty and social justice the accompanying disproportionate growth of the urban poor residents and little research attention paid to the slum dwellers","inequality, poverty, injustice",Negative,No,"UN-habitat, 2003",Yes,Descriptive,overview of slums and estimates the number of slum dwellers in the world.,,,,"Moreno, E. L. (2003). Slums of the World: The Face of Urban Poverty in the New Millennium??: Monitoring the Millennium Development Goal, Target 11--world-wide Slum Dweller Estimation. UN-HABITAT.",Google-Books-ID: TaIp008hleQC
222,II,KORIR BRIAN,Journal,Transformation of Slum and Squatter Settlements: A Way of Sustainable Living in Context of 21st Century Cities,Mania et.al,Squatter Settlements,2013,Asian,Asian,Abstract,"Living condition in these settlements suffer from overcrowding, inadequate accommodation, limited access to clean water and sanitation, lack of proper waste disposal system and deteriorating air quality. There is abundant evidence of innovative solutions developed by the poor to improve their own living environments. This paper will assess the question if ideas of contemporary architecture can be implemented in providing ecological living for squatter settlements","overcrowding, pollution, innadequate",Negative,No,"UNEP, UN-habitat 2010",Yes,Descriptive,Transformation of slums and squatter settlements in the 21st century,,,,"Tahsina Taher, M., & Ibrahim, A. (2014). Transformation of Slum and Squatter Settlements: A Way of Sustainable Living in Context of 21<SUP>st</SUP> Century Cities. American Journal of Civil Engineering and Architecture, 2(2), 7076. https://doi.org/10.12691/ajcea-2-2-3",http://pubs.sciepub.com/ajcea/2/2/3/index.html
223,II,KORIR BRIAN,Journal,Improvising places: The Fluidity of Space in Informal Settlement,Hesam Kamalipour,Informal Settlements,2020,South American,South American,Abstract,Informal settlements cannot be simply addressed through ruthless practices of demolition and eviction since they can often be incrementally upgraded on the same site. Such practices of upgrading rely on a sophisticated understanding of how urban morphology and adaptation work in informal settlements,"simple, eviction, demolition",Negative,No,UN-habitat 2010,Yes,Descriptive,Nature of the impact of infrastuctural fixes on informal housing in the global south,,,,"Sustainability | Free Full-Text | Improvising Places: The Fluidity of Space in Informal Settlements. (n.d.). Retrieved 12 October 2023, from https://www.mdpi.com/2071-1050/12/6/2293",https://doi.org/10.3390/su12062293
224,II,KORIR BRIAN,Book,Squatting in London- Squatters Rights and Legal Movements,Lucy Finchett,Squatter Settlements,2023,European,European,Abstract,"squatters are illegal in the United Kingdom and in order to deter eviction without a court order squatters at first relied on forcible entry, their was no security of tenure for local housing authorities","eviction, illegal, insecure tenure, demolition",Negative,No,Housing Census,No,Descriptive,Nature of informal housing,,,,"Squatting in London  Squatters Rights and Legal Movement(s) by Lucy Finchett-Maddock: SSRN. (n.d.). Retrieved 13 October 2023, from https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3064687",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3064687
